Date,Visitor,PTS_Visitor,Home,PTS_Home,Box_Score,OT,Winner
2024-03-09,Brooklyn Nets,99,Charlotte Hornets,110,/boxscores/202403090CHO.html,,Charlotte Hornets
2024-03-09,Dallas Mavericks,142,Detroit Pistons,124,/boxscores/202403090DET.html,,Dallas Mavericks
2024-03-09,San Antonio Spurs,126,Golden State Warriors,113,/boxscores/202403090GSW.html,,San Antonio Spurs
2024-03-09,Boston Celtics,117,Phoenix Suns,107,/boxscores/202403090PHO.html,,Boston Celtics
2024-03-09,Utah Jazz,121,Denver Nuggets,142,/boxscores/202403090DEN.html,,Denver Nuggets
2024-03-09,Toronto Raptors,118,Portland Trail Blazers,128,/boxscores/202403090POR.html,OT,Portland Trail Blazers
2024-03-10,Milwaukee Bucks,124,Los Angeles Clippers,117,/boxscores/202403100LAC.html,,Milwaukee Bucks
2024-03-10,New Orleans Pelicans,116,Atlanta Hawks,103,/boxscores/202403100ATL.html,,New Orleans Pelicans
2024-03-10,Washington Wizards,110,Miami Heat,108,/boxscores/202403100MIA.html,,Washington Wizards
2024-03-10,Indiana Pacers,111,Orlando Magic,97,/boxscores/202403100ORL.html,,Indiana Pacers
2024-03-10,Houston Rockets,112,Sacramento Kings,104,/boxscores/202403100SAC.html,,Houston Rockets
2024-03-10,Brooklyn Nets,120,Cleveland Cavaliers,101,/boxscores/202403100CLE.html,,Brooklyn Nets
2024-03-10,Philadelphia 76ers,79,New York Knicks,73,/boxscores/202403100NYK.html,,Philadelphia 76ers
2024-03-10,Memphis Grizzlies,93,Oklahoma City Thunder,124,/boxscores/202403100OKC.html,,Oklahoma City Thunder
2024-03-10,Minnesota Timberwolves,109,Los Angeles Lakers,120,/boxscores/202403100LAL.html,,Los Angeles Lakers
2024-03-11,Charlotte Hornets,97,Detroit Pistons,114,/boxscores/202403110DET.html,,Detroit Pistons
2024-03-11,Phoenix Suns,117,Cleveland Cavaliers,111,/boxscores/202403110CLE.html,,Phoenix Suns
2024-03-11,Dallas Mavericks,127,Chicago Bulls,92,/boxscores/202403110CHI.html,,Dallas Mavericks
2024-03-11,Golden State Warriors,112,San Antonio Spurs,102,/boxscores/202403110SAS.html,,Golden State Warriors
2024-03-11,Toronto Raptors,119,Denver Nuggets,125,/boxscores/202403110DEN.html,,Denver Nuggets
2024-03-11,Boston Celtics,121,Portland Trail Blazers,99,/boxscores/202403110POR.html,,Boston Celtics
2024-03-12,Philadelphia 76ers,79,New York Knicks,106,/boxscores/202403120NYK.html,,New York Knicks
2024-03-12,Washington Wizards,97,Memphis Grizzlies,109,/boxscores/202403120MEM.html,,Memphis Grizzlies
2024-03-12,Indiana Pacers,121,Oklahoma City Thunder,111,/boxscores/202403120OKC.html,,Indiana Pacers
2024-03-12,Houston Rockets,103,San Antonio Spurs,101,/boxscores/202403120SAS.html,,Houston Rockets
2024-03-12,Boston Celtics,123,Utah Jazz,107,/boxscores/202403120UTA.html,,Boston Celtics
2024-03-12,Minnesota Timberwolves,118,Los Angeles Clippers,100,/boxscores/202403120LAC.html,,Minnesota Timberwolves
2024-03-12,Milwaukee Bucks,94,Sacramento Kings,129,/boxscores/202403120SAC.html,,Sacramento Kings
2024-03-13,Toronto Raptors,104,Detroit Pistons,113,/boxscores/202403130DET.html,,Detroit Pistons
2024-03-13,Brooklyn Nets,106,Orlando Magic,114,/boxscores/202403130ORL.html,,Orlando Magic
2024-03-13,Chicago Bulls,132,Indiana Pacers,129,/boxscores/202403130IND.html,OT,Chicago Bulls
2024-03-13,Denver Nuggets,100,Miami Heat,88,/boxscores/202403130MIA.html,,Denver Nuggets
2024-03-13,Charlotte Hornets,110,Memphis Grizzlies,98,/boxscores/202403130MEM.html,,Charlotte Hornets
2024-03-13,Cleveland Cavaliers,116,New Orleans Pelicans,95,/boxscores/202403130NOP.html,,Cleveland Cavaliers
2024-03-13,Golden State Warriors,99,Dallas Mavericks,109,/boxscores/202403130DAL.html,,Dallas Mavericks
2024-03-13,Atlanta Hawks,102,Portland Trail Blazers,106,/boxscores/202403130POR.html,,Portland Trail Blazers
2024-03-13,Los Angeles Lakers,107,Sacramento Kings,120,/boxscores/202403130SAC.html,,Sacramento Kings
2024-03-14,Phoenix Suns,112,Boston Celtics,127,/boxscores/202403140BOS.html,,Boston Celtics
2024-03-14,Los Angeles Clippers,126,Chicago Bulls,111,/boxscores/202403140CHI.html,,Los Angeles Clippers
2024-03-14,Washington Wizards,119,Houston Rockets,135,/boxscores/202403140HOU.html,,Houston Rockets
2024-03-14,Philadelphia 76ers,105,Milwaukee Bucks,114,/boxscores/202403140MIL.html,,Milwaukee Bucks
2024-03-14,Dallas Mavericks,119,Oklahoma City Thunder,126,/boxscores/202403140OKC.html,,Oklahoma City Thunder
2024-03-14,New York Knicks,105,Portland Trail Blazers,93,/boxscores/202403140POR.html,,New York Knicks
2024-03-15,Phoenix Suns,107,Charlotte Hornets,96,/boxscores/202403150CHO.html,,Phoenix Suns
2024-03-15,Miami Heat,108,Detroit Pistons,95,/boxscores/202403150DET.html,,Miami Heat
2024-03-15,Orlando Magic,113,Toronto Raptors,103,/boxscores/202403150TOR.html,,Orlando Magic
2024-03-15,Los Angeles Clippers,104,New Orleans Pelicans,112,/boxscores/202403150NOP.html,,New Orleans Pelicans
2024-03-15,Denver Nuggets,117,San Antonio Spurs,106,/boxscores/202403150SAS.html,,Denver Nuggets
2024-03-15,Atlanta Hawks,122,Utah Jazz,124,/boxscores/202403150UTA.html,,Utah Jazz
2024-03-16,Cleveland Cavaliers,103,Houston Rockets,117,/boxscores/202403160HOU.html,,Houston Rockets
2024-03-16,Brooklyn Nets,100,Indiana Pacers,121,/boxscores/202403160IND.html,,Indiana Pacers
2024-03-16,Portland Trail Blazers,107,New Orleans Pelicans,126,/boxscores/202403160NOP.html,,New Orleans Pelicans
2024-03-16,Charlotte Hornets,98,Philadelphia 76ers,109,/boxscores/202403160PHI.html,,Philadelphia 76ers
2024-03-16,Washington Wizards,98,Chicago Bulls,127,/boxscores/202403160CHI.html,,Chicago Bulls
2024-03-16,Oklahoma City Thunder,118,Memphis Grizzlies,112,/boxscores/202403160MEM.html,,Oklahoma City Thunder
2024-03-16,Golden State Warriors,128,Los Angeles Lakers,121,/boxscores/202403160LAL.html,,Golden State Warriors
2024-03-16,Minnesota Timberwolves,119,Utah Jazz,100,/boxscores/202403160UTA.html,,Minnesota Timberwolves
2024-03-16,New York Knicks,98,Sacramento Kings,91,/boxscores/202403160SAC.html,,New York Knicks
2024-03-17,Phoenix Suns,129,Milwaukee Bucks,140,/boxscores/202403170MIL.html,,Milwaukee Bucks
2024-03-17,Miami Heat,104,Detroit Pistons,101,/boxscores/202403170DET.html,,Miami Heat
2024-03-17,Denver Nuggets,105,Dallas Mavericks,107,/boxscores/202403170DAL.html,,Dallas Mavericks
2024-03-17,Toronto Raptors,96,Orlando Magic,111,/boxscores/202403170ORL.html,,Orlando Magic
2024-03-17,Boston Celtics,130,Washington Wizards,104,/boxscores/202403170WAS.html,,Boston Celtics
2024-03-17,Brooklyn Nets,115,San Antonio Spurs,122,/boxscores/202403170SAS.html,OT,San Antonio Spurs
2024-03-17,Atlanta Hawks,110,Los Angeles Clippers,93,/boxscores/202403170LAC.html,,Atlanta Hawks
2024-03-18,Cleveland Cavaliers,108,Indiana Pacers,103,/boxscores/202403180IND.html,,Cleveland Cavaliers
2024-03-18,Detroit Pistons,94,Boston Celtics,119,/boxscores/202403180BOS.html,,Boston Celtics
2024-03-18,Miami Heat,91,Philadelphia 76ers,98,/boxscores/202403180PHI.html,,Philadelphia 76ers
2024-03-18,Portland Trail Blazers,107,Chicago Bulls,110,/boxscores/202403180CHI.html,,Chicago Bulls
2024-03-18,Minnesota Timberwolves,114,Utah Jazz,104,/boxscores/202403180UTA.html,,Minnesota Timberwolves
2024-03-18,New York Knicks,119,Golden State Warriors,112,/boxscores/202403180GSW.html,,New York Knicks
2024-03-18,Memphis Grizzlies,111,Sacramento Kings,121,/boxscores/202403180SAC.html,OT,Sacramento Kings
2024-03-18,Atlanta Hawks,105,Los Angeles Lakers,136,/boxscores/202403180LAL.html,,Los Angeles Lakers
2024-03-19,Charlotte Hornets,92,Orlando Magic,112,/boxscores/202403190ORL.html,,Orlando Magic
2024-03-19,Houston Rockets,137,Washington Wizards,114,/boxscores/202403190WAS.html,,Houston Rockets
2024-03-19,New Orleans Pelicans,104,Brooklyn Nets,91,/boxscores/202403190BRK.html,,New Orleans Pelicans
2024-03-19,Dallas Mavericks,113,San Antonio Spurs,107,/boxscores/202403190SAS.html,,Dallas Mavericks
2024-03-19,Denver Nuggets,115,Minnesota Timberwolves,112,/boxscores/202403190MIN.html,,Denver Nuggets
2024-03-20,Miami Heat,107,Cleveland Cavaliers,104,/boxscores/202403200CLE.html,,Miami Heat
2024-03-20,Indiana Pacers,122,Detroit Pistons,103,/boxscores/202403200DET.html,,Indiana Pacers
2024-03-20,Milwaukee Bucks,119,Boston Celtics,122,/boxscores/202403200BOS.html,,Boston Celtics
2024-03-20,Sacramento Kings,123,Toronto Raptors,89,/boxscores/202403200TOR.html,,Sacramento Kings
2024-03-20,Utah Jazz,107,Oklahoma City Thunder,119,/boxscores/202403200OKC.html,,Oklahoma City Thunder
2024-03-20,Memphis Grizzlies,116,Golden State Warriors,137,/boxscores/202403200GSW.html,,Golden State Warriors
2024-03-20,Philadelphia 76ers,102,Phoenix Suns,115,/boxscores/202403200PHO.html,,Phoenix Suns
2024-03-20,Los Angeles Clippers,116,Portland Trail Blazers,103,/boxscores/202403200POR.html,,Los Angeles Clippers
2024-03-21,New Orleans Pelicans,106,Orlando Magic,121,/boxscores/202403210ORL.html,,Orlando Magic
2024-03-21,Sacramento Kings,102,Washington Wizards,109,/boxscores/202403210WAS.html,,Washington Wizards
2024-03-21,Chicago Bulls,117,Houston Rockets,127,/boxscores/202403210HOU.html,,Houston Rockets
2024-03-21,Brooklyn Nets,108,Milwaukee Bucks,115,/boxscores/202403210MIL.html,,Milwaukee Bucks
2024-03-21,Utah Jazz,97,Dallas Mavericks,113,/boxscores/202403210DAL.html,,Dallas Mavericks
2024-03-21,New York Knicks,100,Denver Nuggets,113,/boxscores/202403210DEN.html,,Denver Nuggets
2024-03-21,Atlanta Hawks,115,Phoenix Suns,128,/boxscores/202403210PHO.html,,Phoenix Suns
2024-03-22,Boston Celtics,129,Detroit Pistons,102,/boxscores/202403220DET.html,,Boston Celtics
2024-03-22,Oklahoma City Thunder,123,Toronto Raptors,103,/boxscores/202403220TOR.html,,Oklahoma City Thunder
2024-03-22,New Orleans Pelicans,111,Miami Heat,88,/boxscores/202403220MIA.html,,New Orleans Pelicans
2024-03-22,Cleveland Cavaliers,91,Minnesota Timberwolves,104,/boxscores/202403220MIN.html,,Minnesota Timberwolves
2024-03-22,Memphis Grizzlies,99,San Antonio Spurs,97,/boxscores/202403220SAS.html,,Memphis Grizzlies
2024-03-22,Indiana Pacers,123,Golden State Warriors,111,/boxscores/202403220GSW.html,,Indiana Pacers
2024-03-22,Los Angeles Clippers,125,Portland Trail Blazers,117,/boxscores/202403220POR.html,,Los Angeles Clippers
2024-03-22,Philadelphia 76ers,94,Los Angeles Lakers,101,/boxscores/202403220LAL.html,,Los Angeles Lakers
2024-03-23,Brooklyn Nets,93,New York Knicks,105,/boxscores/202403230NYK.html,,New York Knicks
2024-03-23,Sacramento Kings,109,Orlando Magic,107,/boxscores/202403230ORL.html,,Sacramento Kings
2024-03-23,Charlotte Hornets,91,Atlanta Hawks,132,/boxscores/202403230ATL.html,,Atlanta Hawks
2024-03-23,Boston Celtics,124,Chicago Bulls,113,/boxscores/202403230CHI.html,,Boston Celtics
2024-03-23,Utah Jazz,119,Houston Rockets,147,/boxscores/202403230HOU.html,,Houston Rockets
2024-03-23,Phoenix Suns,131,San Antonio Spurs,106,/boxscores/202403230SAS.html,,Phoenix Suns
2024-03-23,Toronto Raptors,109,Washington Wizards,112,/boxscores/202403230WAS.html,,Washington Wizards
2024-03-23,Denver Nuggets,114,Portland Trail Blazers,111,/boxscores/202403230POR.html,,Denver Nuggets
2024-03-24,New Orleans Pelicans,114,Detroit Pistons,101,/boxscores/202403240DET.html,,New Orleans Pelicans
2024-03-24,Philadelphia 76ers,121,Los Angeles Clippers,107,/boxscores/202403240LAC.html,,Philadelphia 76ers
2024-03-24,Cleveland Cavaliers,84,Miami Heat,121,/boxscores/202403240MIA.html,,Miami Heat
2024-03-24,Oklahoma City Thunder,93,Milwaukee Bucks,118,/boxscores/202403240MIL.html,,Milwaukee Bucks
2024-03-24,Golden State Warriors,110,Minnesota Timberwolves,114,/boxscores/202403240MIN.html,,Minnesota Timberwolves
2024-03-24,Indiana Pacers,145,Los Angeles Lakers,150,/boxscores/202403240LAL.html,,Los Angeles Lakers
2024-03-25,Charlotte Hornets,92,Cleveland Cavaliers,115,/boxscores/202403250CLE.html,,Cleveland Cavaliers
2024-03-25,Boston Celtics,118,Atlanta Hawks,120,/boxscores/202403250ATL.html,,Atlanta Hawks
2024-03-25,Detroit Pistons,99,New York Knicks,124,/boxscores/202403250NYK.html,,New York Knicks
2024-03-25,Brooklyn Nets,96,Toronto Raptors,88,/boxscores/202403250TOR.html,,Brooklyn Nets
2024-03-25,Washington Wizards,107,Chicago Bulls,105,/boxscores/202403250CHI.html,,Washington Wizards
2024-03-25,Portland Trail Blazers,92,Houston Rockets,110,/boxscores/202403250HOU.html,,Houston Rockets
2024-03-25,Phoenix Suns,102,San Antonio Spurs,104,/boxscores/202403250SAS.html,,San Antonio Spurs
2024-03-25,Memphis Grizzlies,103,Denver Nuggets,128,/boxscores/202403250DEN.html,,Denver Nuggets
2024-03-25,Dallas Mavericks,115,Utah Jazz,105,/boxscores/202403250UTA.html,,Dallas Mavericks
2024-03-25,Philadelphia 76ers,96,Sacramento Kings,108,/boxscores/202403250SAC.html,,Sacramento Kings
2024-03-25,Indiana Pacers,133,Los Angeles Clippers,116,/boxscores/202403250LAC.html,,Indiana Pacers
2024-03-26,Golden State Warriors,113,Miami Heat,92,/boxscores/202403260MIA.html,,Golden State Warriors
2024-03-26,Los Angeles Lakers,128,Milwaukee Bucks,124,/boxscores/202403260MIL.html,2OT,Los Angeles Lakers
2024-03-26,Oklahoma City Thunder,119,New Orleans Pelicans,112,/boxscores/202403260NOP.html,,Oklahoma City Thunder
2024-03-26,Dallas Mavericks,132,Sacramento Kings,96,/boxscores/202403260SAC.html,,Dallas Mavericks
2024-03-27,Cleveland Cavaliers,111,Charlotte Hornets,118,/boxscores/202403270CHO.html,,Charlotte Hornets
2024-03-27,Golden State Warriors,101,Orlando Magic,93,/boxscores/202403270ORL.html,,Golden State Warriors
2024-03-27,Brooklyn Nets,122,Washington Wizards,119,/boxscores/202403270WAS.html,OT,Brooklyn Nets
2024-03-27,Portland Trail Blazers,106,Atlanta Hawks,120,/boxscores/202403270ATL.html,,Atlanta Hawks
2024-03-27,Los Angeles Clippers,108,Philadelphia 76ers,107,/boxscores/202403270PHI.html,,Los Angeles Clippers
2024-03-27,New York Knicks,145,Toronto Raptors,101,/boxscores/202403270TOR.html,,New York Knicks
2024-03-27,Indiana Pacers,99,Chicago Bulls,125,/boxscores/202403270CHI.html,,Chicago Bulls
2024-03-27,Los Angeles Lakers,136,Memphis Grizzlies,124,/boxscores/202403270MEM.html,,Los Angeles Lakers
2024-03-27,Detroit Pistons,91,Minnesota Timberwolves,106,/boxscores/202403270MIN.html,,Minnesota Timberwolves
2024-03-27,Houston Rockets,132,Oklahoma City Thunder,126,/boxscores/202403270OKC.html,OT,Houston Rockets
2024-03-27,San Antonio Spurs,118,Utah Jazz,111,/boxscores/202403270UTA.html,,San Antonio Spurs
2024-03-27,Phoenix Suns,104,Denver Nuggets,97,/boxscores/202403270DEN.html,,Phoenix Suns
2024-03-28,Boston Celtics,122,Atlanta Hawks,123,/boxscores/202403280ATL.html,OT,Atlanta Hawks
2024-03-28,Milwaukee Bucks,100,New Orleans Pelicans,107,/boxscores/202403280NOP.html,,New Orleans Pelicans
2024-03-29,Golden State Warriors,115,Charlotte Hornets,97,/boxscores/202403290CHO.html,,Golden State Warriors
2024-03-29,Los Angeles Lakers,90,Indiana Pacers,109,/boxscores/202403290IND.html,,Indiana Pacers
2024-03-29,Los Angeles Clippers,100,Orlando Magic,97,/boxscores/202403290ORL.html,,Los Angeles Clippers
2024-03-29,Detroit Pistons,96,Washington Wizards,87,/boxscores/202403290WAS.html,,Detroit Pistons
2024-03-29,Chicago Bulls,108,Brooklyn Nets,125,/boxscores/202403290BRK.html,,Brooklyn Nets
2024-03-29,Philadelphia 76ers,114,Cleveland Cavaliers,117,/boxscores/202403290CLE.html,,Cleveland Cavaliers
2024-03-29,Portland Trail Blazers,82,Miami Heat,142,/boxscores/202403290MIA.html,,Miami Heat
2024-03-29,Phoenix Suns,103,Oklahoma City Thunder,128,/boxscores/202403290OKC.html,,Oklahoma City Thunder
2024-03-29,New York Knicks,126,San Antonio Spurs,130,/boxscores/202403290SAS.html,OT,San Antonio Spurs
2024-03-29,Minnesota Timberwolves,111,Denver Nuggets,98,/boxscores/202403290DEN.html,,Minnesota Timberwolves
2024-03-29,Houston Rockets,101,Utah Jazz,100,/boxscores/202403290UTA.html,,Houston Rockets
2024-03-29,Dallas Mavericks,107,Sacramento Kings,103,/boxscores/202403290SAC.html,,Dallas Mavericks
2024-03-30,Boston Celtics,104,New Orleans Pelicans,92,/boxscores/202403300NOP.html,,Boston Celtics
2024-03-30,Memphis Grizzlies,88,Orlando Magic,118,/boxscores/202403300ORL.html,,Orlando Magic
2024-03-30,Milwaukee Bucks,122,Atlanta Hawks,113,/boxscores/202403300ATL.html,,Milwaukee Bucks
2024-03-31,Cleveland Cavaliers,101,Denver Nuggets,130,/boxscores/202403310DEN.html,,Denver Nuggets
2024-03-31,Los Angeles Lakers,116,Brooklyn Nets,104,/boxscores/202403310BRK.html,,Los Angeles Lakers
2024-03-31,Los Angeles Clippers,130,Charlotte Hornets,118,/boxscores/202403310CHO.html,,Los Angeles Clippers
2024-03-31,Philadelphia 76ers,135,Toronto Raptors,120,/boxscores/202403310TOR.html,,Philadelphia 76ers
2024-03-31,Miami Heat,119,Washington Wizards,107,/boxscores/202403310WAS.html,,Miami Heat
2024-03-31,Dallas Mavericks,125,Houston Rockets,107,/boxscores/202403310HOU.html,,Dallas Mavericks
2024-03-31,Chicago Bulls,109,Minnesota Timberwolves,101,/boxscores/202403310MIN.html,,Chicago Bulls
2024-03-31,Oklahoma City Thunder,113,New York Knicks,112,/boxscores/202403310NYK.html,,Oklahoma City Thunder
2024-03-31,Golden State Warriors,117,San Antonio Spurs,113,/boxscores/202403310SAS.html,,Golden State Warriors
2024-03-31,Utah Jazz,106,Sacramento Kings,127,/boxscores/202403310SAC.html,,Sacramento Kings
2024-04-01,Boston Celtics,118,Charlotte Hornets,104,/boxscores/202404010CHO.html,,Boston Celtics
2024-04-01,Memphis Grizzlies,110,Detroit Pistons,108,/boxscores/202404010DET.html,,Memphis Grizzlies
2024-04-01,Brooklyn Nets,111,Indiana Pacers,133,/boxscores/202404010IND.html,,Indiana Pacers
2024-04-01,Portland Trail Blazers,103,Orlando Magic,104,/boxscores/202404010ORL.html,,Orlando Magic
2024-04-01,Atlanta Hawks,113,Chicago Bulls,101,/boxscores/202404010CHI.html,,Atlanta Hawks
2024-04-01,Phoenix Suns,124,New Orleans Pelicans,111,/boxscores/202404010NOP.html,,Phoenix Suns
2024-04-02,Los Angeles Lakers,128,Toronto Raptors,111,/boxscores/202404020TOR.html,,Los Angeles Lakers
2024-04-02,Milwaukee Bucks,113,Washington Wizards,117,/boxscores/202404020WAS.html,,Washington Wizards
2024-04-02,New York Knicks,99,Miami Heat,109,/boxscores/202404020MIA.html,,Miami Heat
2024-04-02,Oklahoma City Thunder,105,Philadelphia 76ers,109,/boxscores/202404020PHI.html,,Philadelphia 76ers
2024-04-02,Houston Rockets,106,Minnesota Timberwolves,113,/boxscores/202404020MIN.html,,Minnesota Timberwolves
2024-04-02,San Antonio Spurs,105,Denver Nuggets,110,/boxscores/202404020DEN.html,,Denver Nuggets
2024-04-02,Cleveland Cavaliers,129,Utah Jazz,113,/boxscores/202404020UTA.html,,Cleveland Cavaliers
2024-04-02,Dallas Mavericks,100,Golden State Warriors,104,/boxscores/202404020GSW.html,,Golden State Warriors
2024-04-02,Los Angeles Clippers,95,Sacramento Kings,109,/boxscores/202404020SAC.html,,Sacramento Kings
2024-04-03,Portland Trail Blazers,89,Charlotte Hornets,86,/boxscores/202404030CHO.html,,Portland Trail Blazers
2024-04-03,Los Angeles Lakers,125,Washington Wizards,120,/boxscores/202404030WAS.html,,Los Angeles Lakers
2024-04-03,Detroit Pistons,113,Atlanta Hawks,121,/boxscores/202404030ATL.html,,Atlanta Hawks
2024-04-03,Oklahoma City Thunder,100,Boston Celtics,135,/boxscores/202404030BOS.html,,Boston Celtics
2024-04-03,Indiana Pacers,111,Brooklyn Nets,115,/boxscores/202404030BRK.html,,Brooklyn Nets
2024-04-03,Memphis Grizzlies,111,Milwaukee Bucks,101,/boxscores/202404030MIL.html,,Memphis Grizzlies
2024-04-03,Toronto Raptors,85,Minnesota Timberwolves,133,/boxscores/202404030MIN.html,,Minnesota Timberwolves
2024-04-03,Orlando Magic,117,New Orleans Pelicans,108,/boxscores/202404030NOP.html,,Orlando Magic
2024-04-03,Cleveland Cavaliers,101,Phoenix Suns,122,/boxscores/202404030PHO.html,,Phoenix Suns
2024-04-04,Atlanta Hawks,95,Dallas Mavericks,109,/boxscores/202404040DAL.html,,Dallas Mavericks
2024-04-04,Philadelphia 76ers,109,Miami Heat,105,/boxscores/202404040MIA.html,,Philadelphia 76ers
2024-04-04,Sacramento Kings,109,New York Knicks,120,/boxscores/202404040NYK.html,,New York Knicks
2024-04-04,Golden State Warriors,133,Houston Rockets,110,/boxscores/202404040HOU.html,,Golden State Warriors
2024-04-04,Denver Nuggets,100,Los Angeles Clippers,102,/boxscores/202404040LAC.html,,Los Angeles Clippers
2024-04-05,Orlando Magic,115,Charlotte Hornets,124,/boxscores/202404050CHO.html,,Charlotte Hornets
2024-04-05,Oklahoma City Thunder,112,Indiana Pacers,126,/boxscores/202404050IND.html,,Indiana Pacers
2024-04-05,Portland Trail Blazers,108,Washington Wizards,102,/boxscores/202404050WAS.html,,Portland Trail Blazers
2024-04-05,Sacramento Kings,100,Boston Celtics,101,/boxscores/202404050BOS.html,,Boston Celtics
2024-04-05,New York Knicks,100,Chicago Bulls,108,/boxscores/202404050CHI.html,,Chicago Bulls
2024-04-05,Miami Heat,119,Houston Rockets,104,/boxscores/202404050HOU.html,,Miami Heat
2024-04-05,Detroit Pistons,90,Memphis Grizzlies,108,/boxscores/202404050MEM.html,,Memphis Grizzlies
2024-04-05,Toronto Raptors,117,Milwaukee Bucks,111,/boxscores/202404050MIL.html,,Toronto Raptors
2024-04-05,San Antonio Spurs,111,New Orleans Pelicans,109,/boxscores/202404050NOP.html,,San Antonio Spurs
2024-04-05,Golden State Warriors,106,Dallas Mavericks,108,/boxscores/202404050DAL.html,,Dallas Mavericks
2024-04-05,Minnesota Timberwolves,87,Phoenix Suns,97,/boxscores/202404050PHO.html,,Phoenix Suns
2024-04-05,Utah Jazz,102,Los Angeles Clippers,131,/boxscores/202404050LAC.html,,Los Angeles Clippers
2024-04-06,Cleveland Cavaliers,97,Los Angeles Lakers,116,/boxscores/202404060LAL.html,,Los Angeles Lakers
2024-04-06,Detroit Pistons,103,Brooklyn Nets,113,/boxscores/202404060BRK.html,,Brooklyn Nets
2024-04-06,Philadelphia 76ers,116,Memphis Grizzlies,96,/boxscores/202404060MEM.html,,Philadelphia 76ers
2024-04-06,Atlanta Hawks,110,Denver Nuggets,142,/boxscores/202404060DEN.html,,Denver Nuggets
2024-04-07,Houston Rockets,136,Dallas Mavericks,147,/boxscores/202404070DAL.html,OT,Dallas Mavericks
2024-04-07,Cleveland Cavaliers,118,Los Angeles Clippers,120,/boxscores/202404070LAC.html,,Los Angeles Clippers
2024-04-07,Miami Heat,115,Indiana Pacers,117,/boxscores/202404070IND.html,,Indiana Pacers
2024-04-07,Portland Trail Blazers,107,Boston Celtics,124,/boxscores/202404070BOS.html,,Boston Celtics
2024-04-07,Oklahoma City Thunder,121,Charlotte Hornets,118,/boxscores/202404070CHO.html,,Oklahoma City Thunder
2024-04-07,Chicago Bulls,98,Orlando Magic,113,/boxscores/202404070ORL.html,,Orlando Magic
2024-04-07,New Orleans Pelicans,113,Phoenix Suns,105,/boxscores/202404070PHO.html,,New Orleans Pelicans
2024-04-07,Washington Wizards,122,Toronto Raptors,130,/boxscores/202404070TOR.html,,Toronto Raptors
2024-04-07,New York Knicks,122,Milwaukee Bucks,109,/boxscores/202404070MIL.html,,New York Knicks
2024-04-07,Philadelphia 76ers,133,San Antonio Spurs,126,/boxscores/202404070SAS.html,2OT,Philadelphia 76ers
2024-04-07,Sacramento Kings,107,Brooklyn Nets,77,/boxscores/202404070BRK.html,,Sacramento Kings
2024-04-07,Utah Jazz,110,Golden State Warriors,118,/boxscores/202404070GSW.html,,Golden State Warriors
2024-04-07,Minnesota Timberwolves,127,Los Angeles Lakers,117,/boxscores/202404070LAL.html,,Minnesota Timberwolves
2024-04-09,Dallas Mavericks,130,Charlotte Hornets,104,/boxscores/202404090CHO.html,,Dallas Mavericks
2024-04-09,Detroit Pistons,102,Philadelphia 76ers,120,/boxscores/202404090PHI.html,,Philadelphia 76ers
2024-04-09,Indiana Pacers,140,Toronto Raptors,123,/boxscores/202404090TOR.html,,Indiana Pacers
2024-04-09,Miami Heat,117,Atlanta Hawks,111,/boxscores/202404090ATL.html,2OT,Miami Heat
2024-04-09,Boston Celtics,91,Milwaukee Bucks,104,/boxscores/202404090MIL.html,,Milwaukee Bucks
2024-04-09,New York Knicks,128,Chicago Bulls,117,/boxscores/202404090CHI.html,,New York Knicks
2024-04-09,Orlando Magic,106,Houston Rockets,118,/boxscores/202404090HOU.html,,Houston Rockets
2024-04-09,San Antonio Spurs,102,Memphis Grizzlies,87,/boxscores/202404090MEM.html,,San Antonio Spurs
2024-04-09,Washington Wizards,121,Minnesota Timberwolves,130,/boxscores/202404090MIN.html,,Minnesota Timberwolves
2024-04-09,Sacramento Kings,105,Oklahoma City Thunder,112,/boxscores/202404090OKC.html,,Oklahoma City Thunder
2024-04-09,Denver Nuggets,111,Utah Jazz,95,/boxscores/202404090UTA.html,,Denver Nuggets
2024-04-09,Golden State Warriors,134,Los Angeles Lakers,120,/boxscores/202404090LAL.html,,Golden State Warriors
2024-04-09,Los Angeles Clippers,105,Phoenix Suns,92,/boxscores/202404090PHO.html,,Los Angeles Clippers
2024-04-09,New Orleans Pelicans,110,Portland Trail Blazers,100,/boxscores/202404090POR.html,,New Orleans Pelicans
2024-04-10,Memphis Grizzlies,98,Cleveland Cavaliers,110,/boxscores/202404100CLE.html,,Cleveland Cavaliers
2024-04-10,Charlotte Hornets,115,Atlanta Hawks,114,/boxscores/202404100ATL.html,,Charlotte Hornets
2024-04-10,Toronto Raptors,102,Brooklyn Nets,106,/boxscores/202404100BRK.html,,Brooklyn Nets
2024-04-10,Dallas Mavericks,111,Miami Heat,92,/boxscores/202404100MIA.html,,Dallas Mavericks
2024-04-10,Orlando Magic,99,Milwaukee Bucks,117,/boxscores/202404100MIL.html,,Milwaukee Bucks
2024-04-10,San Antonio Spurs,89,Oklahoma City Thunder,127,/boxscores/202404100OKC.html,,Oklahoma City Thunder
2024-04-10,Minnesota Timberwolves,107,Denver Nuggets,116,/boxscores/202404100DEN.html,,Denver Nuggets
2024-04-10,Phoenix Suns,124,Los Angeles Clippers,108,/boxscores/202404100LAC.html,,Phoenix Suns
