Date,Visitor,PTS_Visitor,Home,PTS_Home,Box_Score,OT,Winner
2024-01-12,New Orleans Pelicans,113,Denver Nuggets,125,/boxscores/202401120DEN.html,,Denver Nuggets
2024-01-13,Houston Rockets,113,Boston Celtics,145,/boxscores/202401130BOS.html,,Boston Celtics
2024-01-13,Washington Wizards,127,Atlanta Hawks,99,/boxscores/202401130ATL.html,,Washington Wizards
2024-01-13,New York Knicks,106,Memphis Grizzlies,94,/boxscores/202401130MEM.html,,New York Knicks
2024-01-13,Golden State Warriors,118,Milwaukee Bucks,129,/boxscores/202401130MIL.html,,Milwaukee Bucks
2024-01-13,Orlando Magic,100,Oklahoma City Thunder,112,/boxscores/202401130OKC.html,,Oklahoma City Thunder
2024-01-13,New Orleans Pelicans,118,Dallas Mavericks,108,/boxscores/202401130DAL.html,,New Orleans Pelicans
2024-01-13,Chicago Bulls,122,San Antonio Spurs,116,/boxscores/202401130SAS.html,,Chicago Bulls
2024-01-13,Los Angeles Lakers,125,Utah Jazz,132,/boxscores/202401130UTA.html,,Utah Jazz
2024-01-14,Indiana Pacers,109,Denver Nuggets,117,/boxscores/202401140DEN.html,,Denver Nuggets
2024-01-14,Charlotte Hornets,87,Miami Heat,104,/boxscores/202401140MIA.html,,Miami Heat
2024-01-14,Sacramento Kings,142,Milwaukee Bucks,143,/boxscores/202401140MIL.html,OT,Milwaukee Bucks
2024-01-14,Los Angeles Clippers,105,Minnesota Timberwolves,109,/boxscores/202401140MIN.html,,Minnesota Timberwolves
2024-01-14,Phoenix Suns,127,Portland Trail Blazers,116,/boxscores/202401140POR.html,,Phoenix Suns
2024-01-15,Houston Rockets,115,Philadelphia 76ers,124,/boxscores/202401150PHI.html,,Philadelphia 76ers
2024-01-15,New Orleans Pelicans,120,Dallas Mavericks,125,/boxscores/202401150DAL.html,,Dallas Mavericks
2024-01-15,Orlando Magic,98,New York Knicks,94,/boxscores/202401150NYK.html,,Orlando Magic
2024-01-15,Detroit Pistons,129,Washington Wizards,117,/boxscores/202401150WAS.html,,Detroit Pistons
2024-01-15,San Antonio Spurs,99,Atlanta Hawks,109,/boxscores/202401150ATL.html,,Atlanta Hawks
2024-01-15,Golden State Warriors,107,Memphis Grizzlies,116,/boxscores/202401150MEM.html,,Memphis Grizzlies
2024-01-15,Chicago Bulls,91,Cleveland Cavaliers,109,/boxscores/202401150CLE.html,,Cleveland Cavaliers
2024-01-15,Miami Heat,96,Brooklyn Nets,95,/boxscores/202401150BRK.html,OT,Miami Heat
2024-01-15,Boston Celtics,105,Toronto Raptors,96,/boxscores/202401150TOR.html,,Boston Celtics
2024-01-15,Indiana Pacers,105,Utah Jazz,132,/boxscores/202401150UTA.html,,Utah Jazz
2024-01-15,Oklahoma City Thunder,105,Los Angeles Lakers,112,/boxscores/202401150LAL.html,,Los Angeles Lakers
2024-01-16,Denver Nuggets,121,Philadelphia 76ers,126,/boxscores/202401160PHI.html,,Philadelphia 76ers
2024-01-16,Sacramento Kings,117,Phoenix Suns,119,/boxscores/202401160PHO.html,,Phoenix Suns
2024-01-16,Oklahoma City Thunder,117,Los Angeles Clippers,128,/boxscores/202401160LAC.html,,Los Angeles Clippers
2024-01-17,Minnesota Timberwolves,124,Detroit Pistons,117,/boxscores/202401170DET.html,,Minnesota Timberwolves
2024-01-17,Orlando Magic,104,Atlanta Hawks,106,/boxscores/202401170ATL.html,,Atlanta Hawks
2024-01-17,San Antonio Spurs,98,Boston Celtics,117,/boxscores/202401170BOS.html,,Boston Celtics
2024-01-17,Milwaukee Bucks,95,Cleveland Cavaliers,135,/boxscores/202401170CLE.html,,Cleveland Cavaliers
2024-01-17,Houston Rockets,94,New York Knicks,109,/boxscores/202401170NYK.html,,New York Knicks
2024-01-17,Miami Heat,97,Toronto Raptors,121,/boxscores/202401170TOR.html,,Toronto Raptors
2024-01-17,Charlotte Hornets,112,New Orleans Pelicans,132,/boxscores/202401170NOP.html,,New Orleans Pelicans
2024-01-17,Dallas Mavericks,110,Los Angeles Lakers,127,/boxscores/202401170LAL.html,,Los Angeles Lakers
2024-01-17,Brooklyn Nets,103,Portland Trail Blazers,105,/boxscores/202401170POR.html,,Portland Trail Blazers
2024-01-18,Washington Wizards,109,New York Knicks,113,/boxscores/202401180NYK.html,,New York Knicks
2024-01-18,Chicago Bulls,116,Toronto Raptors,110,/boxscores/202401180TOR.html,,Chicago Bulls
2024-01-18,Oklahoma City Thunder,134,Utah Jazz,129,/boxscores/202401180UTA.html,,Oklahoma City Thunder
2024-01-18,Memphis Grizzlies,103,Minnesota Timberwolves,118,/boxscores/202401180MIN.html,,Minnesota Timberwolves
2024-01-18,Indiana Pacers,126,Sacramento Kings,121,/boxscores/202401180SAC.html,,Indiana Pacers
2024-01-19,San Antonio Spurs,120,Charlotte Hornets,124,/boxscores/202401190CHO.html,,Charlotte Hornets
2024-01-19,Philadelphia 76ers,124,Orlando Magic,109,/boxscores/202401190ORL.html,,Philadelphia 76ers
2024-01-19,Denver Nuggets,102,Boston Celtics,100,/boxscores/202401190BOS.html,,Denver Nuggets
2024-01-19,Atlanta Hawks,109,Miami Heat,108,/boxscores/202401190MIA.html,,Atlanta Hawks
2024-01-19,Phoenix Suns,123,New Orleans Pelicans,109,/boxscores/202401190NOP.html,,Phoenix Suns
2024-01-19,Indiana Pacers,115,Portland Trail Blazers,118,/boxscores/202401190POR.html,,Portland Trail Blazers
2024-01-19,Brooklyn Nets,130,Los Angeles Lakers,112,/boxscores/202401190LAL.html,,Brooklyn Nets
2024-01-20,Milwaukee Bucks,141,Detroit Pistons,135,/boxscores/202401200DET.html,,Milwaukee Bucks
2024-01-20,Philadelphia 76ers,97,Charlotte Hornets,89,/boxscores/202401200CHO.html,,Philadelphia 76ers
2024-01-20,San Antonio Spurs,131,Washington Wizards,127,/boxscores/202401200WAS.html,,San Antonio Spurs
2024-01-20,Cleveland Cavaliers,116,Atlanta Hawks,95,/boxscores/202401200ATL.html,,Cleveland Cavaliers
2024-01-20,Toronto Raptors,100,New York Knicks,126,/boxscores/202401200NYK.html,,New York Knicks
2024-01-20,Memphis Grizzlies,96,Chicago Bulls,125,/boxscores/202401200CHI.html,,Chicago Bulls
2024-01-20,Utah Jazz,126,Houston Rockets,127,/boxscores/202401200HOU.html,OT,Houston Rockets
2024-01-20,Oklahoma City Thunder,102,Minnesota Timberwolves,97,/boxscores/202401200MIN.html,,Oklahoma City Thunder
2024-01-21,Brooklyn Nets,114,Los Angeles Clippers,125,/boxscores/202401210LAC.html,,Los Angeles Clippers
2024-01-21,Miami Heat,87,Orlando Magic,105,/boxscores/202401210ORL.html,,Orlando Magic
2024-01-21,Denver Nuggets,113,Washington Wizards,104,/boxscores/202401210WAS.html,,Denver Nuggets
2024-01-21,Boston Celtics,116,Houston Rockets,107,/boxscores/202401210HOU.html,,Boston Celtics
2024-01-21,Indiana Pacers,110,Phoenix Suns,117,/boxscores/202401210PHO.html,,Phoenix Suns
2024-01-21,Portland Trail Blazers,110,Los Angeles Lakers,134,/boxscores/202401210LAL.html,,Los Angeles Lakers
2024-01-22,Milwaukee Bucks,122,Detroit Pistons,113,/boxscores/202401220DET.html,,Milwaukee Bucks
2024-01-22,Cleveland Cavaliers,126,Orlando Magic,99,/boxscores/202401220ORL.html,,Cleveland Cavaliers
2024-01-22,San Antonio Spurs,123,Philadelphia 76ers,133,/boxscores/202401220PHI.html,,Philadelphia 76ers
2024-01-22,Memphis Grizzlies,108,Toronto Raptors,100,/boxscores/202401220TOR.html,,Memphis Grizzlies
2024-01-22,Charlotte Hornets,128,Minnesota Timberwolves,125,/boxscores/202401220MIN.html,,Charlotte Hornets
2024-01-22,Boston Celtics,119,Dallas Mavericks,110,/boxscores/202401220DAL.html,,Boston Celtics
2024-01-22,Chicago Bulls,113,Phoenix Suns,115,/boxscores/202401220PHO.html,,Phoenix Suns
2024-01-22,Atlanta Hawks,107,Sacramento Kings,122,/boxscores/202401220SAC.html,,Sacramento Kings
2024-01-23,Denver Nuggets,114,Indiana Pacers,109,/boxscores/202401230IND.html,,Denver Nuggets
2024-01-23,New York Knicks,108,Brooklyn Nets,103,/boxscores/202401230BRK.html,,New York Knicks
2024-01-23,Utah Jazz,124,New Orleans Pelicans,153,/boxscores/202401230NOP.html,,New Orleans Pelicans
